,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.701785185949453,1.6976235820778385,0.03493054500944019,0.017464973216832966,0.017437513701838037,0.017384853066000933,,
QCD,1126208.5372077704,1204990.9790546382,1200738.052316178,1197558.877157514,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337,,
TT,126178.01663528237,126178.01663528237,125721.86252072458,125249.58535996148,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777,,
ST,11213.018738828063,11213.018738828063,11168.452048314444,11140.719505951973,0.4852390242150444,0.0,0.0,0.0,,
W+Jets,15930.077126498532,15930.077126498532,15881.107695718065,15842.384142944156,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253,,
Z+Jets,22772.15825578505,22772.15825578505,22689.51909652289,22638.01021402513,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934,,
Diboson,1008.665041486354,1008.665041486354,1005.0573352561039,1001.5335960272366,0.0,0.0,0.0,0.0,,
ggFHbb,223.1087799478259,223.1087799478259,222.71968015957236,221.89439691067292,0.0,0.0,0.0,0.0,,
VBFHbb,71.28205035333777,71.28205035333777,71.08197998191031,70.88904592719425,0.0,0.0,0.0,0.0,,
ZHbb,67.12062616739404,67.12062616739404,66.95505508866002,66.85027969634586,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888,,
WHbb,116.35029311753367,116.35029311753367,116.09016021113949,115.97731768365011,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728,,
ggZHbb,10.311005316400479,10.311005316400479,10.28303977032229,10.258567730652926,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,,
ttHbb,354.83801865944884,354.83801865944884,353.4782835063519,351.99796261301265,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546,,
HWW,172.07437391871363,172.07437391871363,171.39708029390346,170.57519080446693,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766,,
Data,1383108.0,1383108.0,,,69.0,5.0,5.0,5.0,1383108.0,1383108.0
