,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.009583006101330529,0.004381194011370422,0.004381194011370422,0.004357890672393658
QCD,717986.216814939,956785.8146709627,948406.4124347997,941617.267942029,5.766758281634221,0.0,0.0,0.0
TT,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,1.7730969429889694,-0.014322698241955409,-0.014322698241955409,-0.014322698241955409
ST,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,0.055091396808934615,0.0,0.0,0.0
W+Jets,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,0.43288591168609253,0.09674163352935557,0.09674163352935557,0.09674163352935557
Z+Jets,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,0.13412189797405288,0.0,0.0,0.0
Diboson,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.0,0.0,0.0,0.0
WHbb,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.0,0.0,0.0,0.0
ggZHbb,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0002247348412580244,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.0053023453275395736,0.001073905122834825,0.001073905122834825,0.001073905122834825
HWW,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.07893740375718174,0.012051867493711397,0.012051867493711397,0.012051867493711397
Data,1047903.0,1047903.0,1047903.0,1047903.0,24.0,1.0,1.0,1.0
