,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,1.05 ± 0.23,0.15303949989086268,0.048066903551757675,0.0007821920510374409,0.14920268947395537
ggHH_kl_2p45_kt_1_HHbbVV,1.06 ± 0.26,0.1854992800875139,0.04818834019650573,0.00101354501018185,0.14855221732253027
ggHH_kl_5_kt_1_HHbbVV,1.04 ± 0.49,0.44295044255989946,0.05304250570097779,0.0018896695474019225,0.1502033979420914
ggHH_kl_0_kt_1_HHbbVV,1.06 ± 0.27,0.2009500016382721,0.043869015423568455,0.001122037707667054,0.14878584535433492
VBFHHbbVV,1.20 ± 0.45,0.3364630138198149,0.05546326007160004,0.0025745040837828084,0.15364789849325933
qqHH_CV_1_C2V_0_kl_1_HHbbVV,1.09 ± 0.17,0.020599155962882833,0.047051791008324254,0.007853857957480186,0.1455758508297348
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,1.10 ± 0.17,0.019348238212662454,0.047275499906565245,0.007295691758751574,0.14756908483506212
qqHH_CV_1_C2V_1_kl_2_HHbbVV,1.18 ± 0.65,0.5233157204361628,0.06468901064992398,0.0036146450793935418,0.1597838137472284
qqHH_CV_1_C2V_2_kl_1_HHbbVV,1.10 ± 0.17,0.021843189186383394,0.04745519250261743,0.008424393404419635,0.14506489237230769
qqHH_CV_1_C2V_1_kl_0_HHbbVV,1.08 ± 0.31,0.23346733163194697,0.05497275658070023,0.0018188358636607282,0.1509452736318408
