,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6757548522012857,1.6755174017437258,0.13522415637007976,0.0945594732895327,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2646782303040833,1.264572593981776,0.09980478949002394,0.06904166711762225,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3324796079223353,1.3322927686557362,0.07243827739208908,0.04926671586095119,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.14574120877309,2.1453802117397194,0.167547236560241,0.11572278504769012,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03401878632576567,0.034014078043477246,0.0018940675086017052,0.0014087615999853502,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.760097256521927,20.759327537372858,2.1576689318883653,1.6382044762931827,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.78501103778664,34.783889362401446,3.6164287586707573,2.7668695460983503,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.03499348154814317,0.034986891371333685,0.0011222397396292254,0.0007753271249384565,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.899812612265276,18.89899725944025,2.010910794346065,1.532293489616961,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08889022380899324,0.08886420846200346,0.007097856383888811,0.005132692579019236,,,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1146545.8889580548,1146396.0874823101,86.2929057992295,11.743785163150324,,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114706.15876300249,114683.14121694586,21.374227899553354,3.6784591276344756,,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9989.024577587452,9987.966441260009,2.5062982101458338,0.6894987125411937,,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14707.90486347219,14705.855078584122,6.01212817819757,1.2144252967096187,,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21592.713993914025,21589.977951000445,4.471115478692301,2.232547786206439,,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,935.6242769877188,935.6242769877188,0.28001420954562,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.5170485658804,224.45546900141025,0.0,0.0,,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.27546093253595,66.27338743540412,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.45579974544757,63.45287399754096,0.019165071246600798,0.011562703181241899,,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.84087638332325,108.83414264832638,0.02341241374342634,0.01740215811191598,,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.505625210234324,9.504521809114898,0.0007379976097465021,0.0007379976097465021,,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,312.18019451465693,312.12908216023584,0.10327571938630524,0.0395590517943866,,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.68815304215195,150.65286062054875,1.2536886390774356,0.3754015319643515,,,
Data,1309711.0,1309711.0,1309711.0,,,,42.0,1309711.0,1309711.0,197.0
