,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1126208.5372077702,1204990.9790546389,1091945.7606505144,1024559.614902489,994860.093500053,217419.30546281373,200281.21984533768,193738.7108517623,193458.93055042316,192554.761808717,
TT,126178.01663528233,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24007.35213611494,22513.94910326645,21381.054087944616,18286.78181363702,16464.32995309624,
ST,11213.018738828068,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2193.4949414228267,2061.3032882125153,1934.8734221686987,1714.7075624322329,1557.3647503507495,
W+Jets,15930.077126498532,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1979.9946620472685,1862.825467611407,1707.7989512421254,1703.163246662933,1696.500497861213,
Z+Jets,22772.15825578505,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3174.8702433382764,2623.0950466235527,2503.7599748456837,2496.7658094149238,2481.52573943145,
Diboson,1008.6650414863541,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,83.41627169768616,65.61540487529683,64.06932482100058,58.88792219088518,53.00834867591714,
ggFHbb,223.1087799478259,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,136.5315533401636,66.3463122155986,64.28224746905228,64.1381722142755,63.695028535087324,
VBFHbb,71.28205035333777,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,47.76535350044872,20.997994824152837,20.23150390682712,20.123364440807173,19.932840990293037,
ZHbb,67.12062616739404,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.54250974631402,17.496047468380436,16.492152053114214,16.452486466223142,16.312649189515778,
WHbb,116.35029311753367,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,73.22758148846484,35.579258208022694,32.80726320862796,32.73879598702718,32.533260866811325,
ggZHbb,10.311005316400477,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.466439147367905,2.3799312111648594,2.278557842641202,2.271264389967699,2.255390300992718,
ttHbb,354.83801865944884,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,98.60883364751821,66.53367557562687,63.47844759701253,54.63032171799375,47.26109583076976,
HWW,172.07437391871366,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.380617938287386,28.66238662576142,25.295702810487533,20.283554454663317,16.75233968391168,
Data,1383108.0,1383108.0,1270702.0,1193818.0,1182302.0,,232894.0,220934.0,216868.0,213893.0,250856.0
