,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9148011663070708,0.9089569871064302,0.9039095978553666,0.06850410190726589,0.04773576125811458,0.043803376679265205,0.043745025001650686,0.04349533347852337
ggHH_kl_2p45_kt_1_HHbbVV,0.6684783958954693,0.6645552104862419,0.6613411332764368,0.05052354193273935,0.03495335606784401,0.031566211500347816,0.031506482396247155,0.031380982850029215
ggHH_kl_5_kt_1_HHbbVV,0.6962224788343129,0.6925909545267865,0.6897912774564408,0.03515362916810656,0.024845180096371173,0.021599015477990532,0.021531619752566088,0.021471690671291736
ggHH_kl_0_kt_1_HHbbVV,1.195063655467889,1.1869780819158964,1.179979106730611,0.08796773335090921,0.06218827700063267,0.056764383398892934,0.05663656269317088,0.05634630646010247
VBFHHbbVV,0.017142810635160908,0.017057515596418465,0.016953798033729275,0.0010171071043442847,0.0007529582590791094,0.0005015524539592399,0.0005015524539592399,0.00049787418762403
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.06053072424809,9.041425423834797,9.026899501698114,0.9570450416805268,0.7187271645970479,0.3250796722939469,0.3241711927089729,0.3225948586556004
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269120424149463,15.236684057351848,15.208701521587559,1.5914165421634403,1.1967054165856494,0.5400478045567715,0.5383280528147467,0.5353338447644833
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.017385389144890753,0.01728815386310379,0.017203131133339978,0.0005953464244418859,0.0003689836214749259,0.00023648999851010356,0.00023648999851010356,0.00023547669827765549
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138205254076299,8.123287191192881,8.11222351080432,0.8825194782494158,0.6667703095627628,0.2959414257193548,0.2955304820275156,0.29432664669235087
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04621106714203778,0.04596398382314275,0.04568517702092812,0.0041387613906741,0.003042277280132461,0.0017856577016438146,0.0017856577016438146,0.0017798146302538623
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,4.867363695687485,4.8577847635524405,4.850361368108131,0.5190541814431888,0.39193734704816285,0.1753566165728816,0.17494121898318654,0.17432595307543586
