,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1075869641063874,1.107548783068788,0.7335035739124243,0.7322213013489528,0.7291096273155495
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.8017040571957035,0.8016865012440655,0.5219598478032055,0.5211587805819528,0.5190109860361161
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8400616466932882,0.8400616466932882,0.46114284870384237,0.46069458270893965,0.4588820487777649
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4344951520376874,1.4344794733446775,0.9405949402517073,0.9390921538923123,0.9350637569195678
VBFHHbbVV,0.02156889733130559,0.02156889733130559,0.02156889733130559,0.013778453921014663,0.013730543398936604,0.013665685638203834
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,11.011890669981481,11.011837771083332,7.998923729993468,7.982338143317925,7.950811605603649
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.524043546899545,18.524043546899545,13.39818081540625,13.370668979052935,13.3204916558166
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.0215265594427219,0.0215265594427219,0.011023389637194627,0.01098123353996988,0.010928210025963721
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.950651783702952,9.950627713653182,7.234077365837747,7.218827600670658,7.191661837971614
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.056261892429548606,0.056261892429548606,0.03792803410562485,0.0378389245164034,0.037606123054461635
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.947068781212984,5.947068781212984,4.360271163807466,4.357110176620636,4.34673229918234
