,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMS_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMS_up < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,122085.62425420583,112739.51011156687,109845.91133198269,109719.01188339424,109220.77627673896,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9354.898934744933,8742.13587462223,8345.279497038633,7330.84266311738,6608.147511740657,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,826.3838579749543,769.3252838094145,730.7077063696066,669.4220327160162,610.5107974373337,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,1370.608635309211,1273.4159444482502,1208.891308716796,1205.6794872943478,1201.685815961733,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,3136.734888014309,2086.7001889410394,2015.8492625328822,2011.6493917021735,2001.9606146780698,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,127.42384555811364,83.76527080562394,80.28619414895695,76.17648156028933,73.23521578726593,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,14.97366960108594,9.287582054657868,9.179932710257901,9.165440933594185,9.082254702460727,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,4.188564303853735,2.3568353509474607,2.28496767901985,2.2763156010772043,2.2704383351819906,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,5.194292028923025,2.570548162412429,2.459703517141227,2.453961291217233,2.4199806149810303,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,7.399037624064147,4.299853717641082,4.039336452905522,4.031070578377855,4.003162031201157,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,0.7988224124283617,0.4912909242315752,0.47615782149355135,0.4737000153672136,0.46820656309243647,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,22.992139712837393,18.90133574273989,18.12636646813338,15.829245843161019,13.938837912072024,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.036008455240989,10.887762275120338,9.480108589756298,7.61126481091296,6.3831215288661625,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,114757.0,109564.0,108079.0,106711.0,123461.0
