,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1126208.5372077702,1204990.9790546389,1082791.3045432647,1010534.5328699123,975982.5535852,974470.2491916075,970410.8029014424,,,
TT,126178.01663528233,126178.01663528233,114490.2353863148,103920.30786860189,101851.71702963293,91626.052582165,82290.5075108945,,,
ST,11213.018738828068,11213.018738828068,10063.814690293584,9333.881158662574,9169.602529867114,8381.945094425872,7556.242619882772,,,
W+Jets,15930.077126498532,15930.077126498532,14691.806727684198,13777.267658173338,13457.90702673858,13429.473251029158,13387.767897154718,,,
Z+Jets,22772.15825578505,22772.15825578505,20633.98475649249,19387.760471367154,18906.89524950993,18869.212128447984,18786.801603942247,,,
Diboson,1008.6650414863541,1008.6650414863541,928.2792348935631,882.3386302772958,863.6551975055806,825.6377947070724,774.0019664194735,,,
ggFHbb,223.1087799478259,223.1087799478259,206.96121335168272,188.11216062010658,182.14359517046486,181.8707017304683,180.75110248300604,,,
VBFHbb,71.28205035333777,71.28205035333777,66.22831484205756,62.021356057605445,60.603962583813285,60.32881724870322,59.93554789410558,,,
ZHbb,67.12062616739404,67.12062616739404,61.675631496288744,59.011833939231224,57.48892061830066,57.364241047215856,56.96510161715127,,,
WHbb,116.35029311753367,116.35029311753367,106.66396487768547,102.92776097108307,100.33370527348852,100.14702940800109,99.58119344380218,,,
ggZHbb,10.311005316400477,10.311005316400477,9.381778754562763,8.77298922770347,8.603830059714706,8.579479434505313,8.51582836164759,,,
ttHbb,354.83801865944884,354.83801865944884,319.26690607262464,288.7889140300193,285.10020418113174,252.1496039669848,219.01352551015424,,,
HWW,172.07437391871366,172.07437391871366,155.5646345789582,137.67677353842413,135.75568599415618,114.16327601140598,95.65670015101135,,,
Data,1383108.0,1383108.0,,,,1167416.0,1151740.0,1270702.0,1193818.0,1182302.0
