,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_down < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
X[3000]->H(bb)Y[250](VV),12.318654698514928,12.318654698514928,12.298071978378948,12.277436922852702,12.272657706086584,9.890224959600372,6.209681555894016,3.1479064614903325,3.144768185196218,3.136605604003885,
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121592.77406803142,9948.67773988088,363.7533148305806,363.7533148305806,363.7533148305806,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9523.054301610748,637.2483566007566,26.417979651997427,22.728718267588974,22.08711769764362,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,828.8320784897369,65.57564409336393,3.37565158334853,3.119153056046167,2.9819331946622634,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,897.4213241217509,54.584984483246444,4.589365942135574,4.589365942135574,4.589365942135574,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1351.8439175468088,233.65085816786313,8.926229916173487,8.926229916173487,8.926229916173487,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.11234864535133,7.981912887220565,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,54.50720066950371,28.41140204818648,0.7362231009131134,0.7362231009131134,0.7362231009131134,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.570523644174557,9.192542026650093,0.22496960843670238,0.22496960843670238,0.22496960843670238,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.906476990556056,7.30201677448638,0.39388404424694956,0.39388404424694956,0.39388404424694956,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,27.02149092800846,13.830387230541405,1.0251823042697565,1.0238981956865683,1.0160320135369214,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.6743584342759854,0.775986469316182,0.030798712823441814,0.030798712823441814,0.0302738554744774,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.970259659187334,11.619981114857236,0.4952702831396774,0.46756878304161414,0.41303290035182283,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.123942281782774,0.7954891925853176,0.13067172377936004,0.1254364523484219,0.12004714256749818,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8329.0,369.0,366.0,361.0,121852.0
